,idade,uf_onde_mora,nivel_de_ensino,area_formacao,situacao_trabalho,setor,cargo_atual,nivel_senioridade,tempo_experiencia,JS,Java,R,Python,SQL,Oracle,MySQL,Google_BigQuery,SQL_Server,Databricks,PostgreSQL,nao_utilizamos_cloud,Google_cloud,Azure,AWS,categorias_target
1110,27,SP,Doutorado ou Phd,Química / Física,Empregado (CLT),Finanças ou Bancos,Cientista de Dados/Data Scientist,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1111,27,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,Cientista de Dados/Data Scientist,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1112,27,MG,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1113,27,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Analytics Engineer,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,de R$ 6.001/mês a R$ 8.000/mês
1114,27,MG,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,de 3.001/mês a R$ 6.000/mês
1115,27,RJ,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Freelancer,Marketing,,,de 3 a 4 anos,,,,,,,,,,,,,,,,de R$ 6.001/mês a R$ 8.000/mês
1116,27,MG,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Área de Consultoria,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1117,27,RJ,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Finanças ou Bancos,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de 3 a 4 anos,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1118,27,RS,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,,,de 3 a 4 anos,,,,,,,,,,,,,,,,de R$ 8.001/mês a R$ 12.000/mês
1119,27,PR,Não tenho graduação formal,,Empregado (CLT),Finanças ou Bancos,Analytics Engineer,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1120,27,MT,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Finanças ou Bancos,Analista de BI/BI Analyst,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,até R$ 3.000/mês
1121,27,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Indústria,,,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,,,,,,,,,,de R$ 12.001/mês a R$ 20.000/mês
